ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_000005Q	PP_000005Q.3	ebola-sudan	CS402439	-:PAT	Sequence 8 from Patent WO2006037038
PP_000008J	PP_000008J.3	ebola-sudan	LQ278387	-:PAT	Sequence 219 from Patent WO2016069853
PP_00000D8	PP_00000D8.3	ebola-sudan	HC069211	-:PAT	Sequence 1 from Patent WO2009128867
PP_00000E6	PP_00000E6.3	ebola-sudan	HC874655	-:PAT	Sequence 1 from Patent WO2010053573
PP_00000F4	PP_00000F4.3	ebola-sudan	HC918459	-:PAT	Sequence 9 from Patent WO2010057650
PP_00000G2	PP_00000G2.3	ebola-sudan	HC918462	-:PAT	Sequence 12 from Patent WO2010057650
PP_00000PM	PP_00000PM.3	ebola-sudan	LQ278391	-:PAT	Sequence 223 from Patent WO2016069853
PP_00000X5	PP_00000X5.3	ebola-sudan	LQ278395	-:PAT	Sequence 227 from Patent WO2016069853
PP_000012V	PP_000012V.3	ebola-sudan	MS811587	-:PAT	Sequence 9 from Patent WO2016189490
